prediction,ground_truth,wer,errors,ref_words
"If their grades are average, they're allowed to ride.",If their skirts are above the knee they are too short.,0.7272727272727273,8,11
How long have you lived in this house?,How long have you lived in this house?,0.0,0,8
Occasionally it gives a pretty offender.,Especially if he's a repeat offender.,0.6666666666666666,4,6
It's a high tech industry.,It's a quick growing industry.,0.4,2,5
Some new techs are manager.,Some new types of furniture.,0.6,3,5
This is where I am.,That's where I am.,0.5,2,4
It was about nine o'clock at night.,It was about nine o'clock at night.,0.0,0,7
How is so bass at your new job?,How is your boss at your new job?,0.25,2,8
Which is probably about what their opportunity is.,Which is probably about what their equity is.,0.125,1,8
My song is the main in the Gatorade commercial.,My father is the man in the corduroy jacket.,0.4444444444444444,4,9
They could read anything.,They can't read anything.,0.25,1,4
The two scenes of what are happy.,The two seats up front are empty.,0.5714285714285714,4,7
Keep it clean please.,Keep it clean please.,0.0,0,4
I think it's just that you see you can trust probably.,I think it's good that you see your cousins frequently.,0.5,5,10
About how many calls have you made on this shift?,About how many calls have you made on this system?,0.1,1,10
I don't know what to think about that.,I don't know what you think about that.,0.125,1,8
It slowly grew well and outgrew the pale wall.,"Eat slowly, chew well, and enjoy the meal.",0.625,5,8
I'd like to see relevance of the claims.,I'd like to see Silence of the Lambs.,0.25,2,8
Just a few miles north of here.,Just forty miles north of here.,0.3333333333333333,2,6
Look at the successes.,Look at the statistics.,0.25,1,4
Who did they play?,Who did they play?,0.0,0,4
Losers all the way around.,Losers all the way around.,0.0,0,5
"I threw a penalty, I think.",I drove a Cadillac back then.,0.6666666666666666,4,6
I want them to come back up this year.,I want them to come back up next year.,0.1111111111111111,1,9
You did unsustained things.,You don't understand this.,0.75,3,4
It doesn't seem that low.,It doesn't seem that long.,0.2,1,5
"This is an infraction of privacy, you know.",This is an invasion of privacy issue.,0.42857142857142855,3,7
A really good thing to do.,A really good thing to do.,0.0,0,6
The only other place I've ever vacationed.,The only other place I've ever vacationed.,0.0,0,7
They had skirmishes and story time and everything.,They had snacks and story time and everything.,0.125,1,8
Beyoncé is a star that they could rely on.,Because of a service that they could provide.,0.625,5,8
Don't just wish the question to be so.,Not just with the visit to Pittsburgh.,0.7142857142857143,5,7
There's two tenacious.,There's no deductions.,0.6666666666666666,2,3
What if you were in your kid's shoes?,What if you were in your kid's shoes?,0.0,0,8
I don't know if you've tried it.,I don't know if you've tried it.,0.0,0,7
Paramount Pictures was doing a cameo.,Barometric pressure drops during a tornado.,0.8333333333333334,5,6
Favor him not and keep him warm.,Cover him up and keep him warm.,0.2857142857142857,2,7
They're very affectionate with one another.,They're very affectionate with one another.,0.0,0,6
